codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase_fallado	407	449718	68.8	42.3	10	48	1	2372227	Las Palmas	Enzo Loiodice	0	0	0	87.2	32.5	0
49	recuperacion_balon	181	500759	10.8	68.4	10	51	1	2372227	Mallorca	Copete	1	0	0	0	0	0
12	despeje	181	500759	7.4	73.2	10	52	1	2372227	Mallorca	Copete	1	0	0	4.3	102	0
5	balon_fuera	181	500759	5	100	10	54	1	2372227	Mallorca	Copete	0	0	347	0	0	0
5	balon_fuera	407	198221	95	0	10	54	1	2372227	Las Palmas	Javi Muñoz	1	0	347	0	0	0
1	pase	407	213469	88.2	0	11	10	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	91.3	4.8	0
61	toco_balon	407	198221	94.9	6.4	11	11	1	2372227	Las Palmas	Javi Muñoz	0	0	0	0	0	0
12	despeje	181	58792	6.5	90.9	11	12	1	2372227	Mallorca	Jaume Costa	1	0	0	9.5	101.4	0
5	balon_fuera	181	500759	8.6	100	11	13	1	2372227	Mallorca	Copete	0	0	347	0	0	0
5	balon_fuera	407	198221	91.4	0	11	13	1	2372227	Las Palmas	Javi Muñoz	1	0	347	0	0	0
1	pase	407	213469	92.9	0	11	17	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	86.5	2.5	0
1	pase_fallado	407	484753	90.4	3.9	11	20	1	2372227	Las Palmas	Kirian Rodríguez	0	0	0	91.1	50.9	0
11	sin_identificar	181	104407	10.1	51	11	23	1	2372227	Mallorca	Predrag Rajkovic	1	0	0	0	0	0
1	pase	181	104407	11.8	46.1	11	31	1	2372227	Mallorca	Predrag Rajkovic	1	0	0	18.5	20.3	0
